"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"ADEA","ADEIA CORP","239403322","100","66.683","95.8685","57.876","46.30402","0","0","40.16474","66.683","30.86","68.596","-2.79","9.34","10.57","13.17",""
"OMER","Omeros Corporation","19073388","57.45","66.62","80.2632","74.073","45.52353","50","99.48503","78.16606","66.62","45.3","63.445","5","5.72","7.41","29.55",""
"GAMB","Gambling.com Group Ltd","287095466","50","66.593","75.5529","73.217","51.00945","38.115665","86.20828","60.06614","66.593","9.17","66.151","0.67","10.13","10.36","2.27",""
"LEGN","Legend Biotech Corp","27682338","4","66.586","87.264","64.703","47.79108","76.70533","45.65896","57.28636","66.586","14.53","59.448","12.01","63.5","63.38","-0.19",""
"ADMA","ADMA Biologics Inc","10552701","37.3","66.525","92.5588","59.132","47.88569","8.087065","1.11636","47.96015","66.525","25.73","67.019","-0.74","3.92","4.05","3.32",""
"XPOF","Xponential Fitness Inc","191270680","94.1","66.44","91.7933","53.18","54.34622","76.140365","100","58.59431","66.44","4.06","64.451","3.09","24.69","25.93","5.02",""
"XOM","Exxon Mobil Corp","2159447","49.7","66.393","89.2942","56.381","53.50382","15.654935","38.21014","53.43169","66.393","2.94","65.455","1.43","106.47","105.76","-0.67",""
"INSW","International Seaways Inc","133423784","80.45","66.386","88.9237","55.66","54.57502","50","44.53282","58.46426","66.386","9.19","71.812","-7.56","37.4","37.82","1.12",""
"BLCM","Bellicum Pharmaceuticals Inc","267271","50","66.385","59.6817","98.436","41.03671","8.38414","0","84.91892","66.385","244.74","51.396","29.16","0.78","0.3","-61.54",""
"NWLI","National Western Life Insurance Co","199929360","58","66.335","79.4118","73.564","46.03006","11.92072","0.26907","58.12688","66.335","68.6","66.987","-0.97","383","389.24","1.63",""
"LFCR","Lifecore Biomedical Inc.","8150777","50","66.323","64.1216","91.263","43.58315","0","0","75.12978","66.323","144.22","42.578","55.77","8.38","8.15","-2.74",""
"BMI","Badger Meter Inc","14418634","44.3","66.297","90.1436","60.175","48.57255","65.824095","95.31022","59.03282","66.297","8.49","63.267","4.79","137.02","145","5.82",""
"MLCO","Melco Resorts & Entertainment Ltd","400453","52.8","66.296","87.331","58.426","53.1323","29.72162","20.68243","60.17397","66.296","4.35","64.902","2.15","11.22","11.65","3.83",""
"SGEN","Seagen Inc","721719","-23.35","66.288","87.5956","60.557","50.71003","100","100","64.67372","66.288","0.14","63.759","3.97","194.88","195.38","0.26",""
"ENZ","Enzo Biochem Inc","745386","0.1","66.198","77.5046","78.506","42.5829","100","93.12855","85.77521","66.198","7.45","46.221","43.22","2.28","2.21","-3.07",""
"ROIV","Roivant Sciences Ltd","305133","65.5","66.198","83.3998","64.018","51.17615","30.443565","21.80038","59.05072","66.198","11.3","65.632","0.86","9.22","9.44","2.39",""
"FTI","TechnipFMC PLC","138195694","100","66.19","88.9032","57.976","51.69056","45.85509","39.15011","50.75304","66.19","14.27","70.202","-5.71","14","14.86","6.14",""
"SQSP","Squarespace Inc","725871","-9.3","66.187","77.4144","65.969","55.17615","100","100","68.87774","66.187","5.9","63.111","4.87","29.13","29.97","2.88",""
"ALGM","Allegro Microsystems Inc","937066","100","66.177","89.819","58.592","50.11875","50","98.79483","58.20688","66.177","1.45","70.368","-5.96","38.15","39.48","3.49",""
"CBZ","CBIZ Inc","556595","45.6","66.172","88.0086","58.136","52.37053","50","85.54409","49.40558","66.172","2.71","65.296","1.34","50.24","52.84","5.18",""
"FIX","Comfort Systems USA Inc","22697947","100","66.16","89.7179","54.758","54.00443","68.49198","96.23824","54.40895","66.16","13.82","71.262","-7.16","150.73","154.86","2.74",""
"RS","Reliance Steel & Aluminum Co","68009501","57.75","66.16","88.366","54.875","55.23922","50","100","57.51416","66.16","3.28","68.581","-3.53","238.59","241.69","1.3",""
"ALDX","Aldeyra The","71950383","50","66.157","91.7879","57.924","48.75979","100","100","71.44911","66.157","5.98","61.075","8.32","9.15","10.65","16.39",""
"VRTX","Vertex Pharmaceuticals Incorporated","292862","34.7","66.052","84.3858","55.915","57.85563","84.10127","89.02886","56.61147","66.052","7.12","62.33","5.97","328.99","333.78","1.46",""
"GIB","CGI Inc","7037383","38.95","66.05","81.432","66.358","50.36019","79.95985","100","59.45756","66.05","7.44","62.195","6.2","102.25","105.43","3.11",""
"EME","EMCOR Group Inc","36366617","100","66.042","87.5436","59.374","51.20966","80.84792","98.34126","58.7848","66.042","9.48","69.065","-4.38","167.91","173.19","3.14",""
"CECO","CECO Environmental Corp.","11783851","100","66.037","90.6823","56.202","51.22641","45.135125","25.84782","58.0109","66.037","4.59","70.524","-6.36","11.29","12.34","9.3",""
"NATH","Nathans Famous Inc","92971547","50","65.998","83.0381","62.719","52.23651","50","64.93356","53.32968","65.998","5.74","67.897","-2.8","70.2","76.79","9.39",""
"TRTN","Triton International Limited","56846901","10.8","65.937","89.2679","53.298","55.24415","27.430355","43.50547","59.80766","65.937","0.78","60.103","9.71","83.02","83.4","0.46",""
"THS","Treehouse Foods Inc","30794974","39.5","65.906","85.4984","59.577","52.64154","86.360985","81.94527","53.42306","65.906","4.46","63.911","3.12","48.5","48.81","0.64",""
"COTY","Coty Inc","715026","100","65.889","89.3301","53.976","54.36019","50","100","61.41128","65.889","0.64","63.497","3.77","10.9","11.55","5.96",""
"GILD","Gilead Sciences, Inc","16824402","18.95","65.888","86.213","58.892","52.55876","12.8651","14.90554","46.93158","65.888","2.95","64.461","2.21","78","77.89","-0.14",""
"TOUR","Tuniu Corp","6544389","50","65.839","87.747","62.706","47.06282","29.324465","1.28675","58.47144","65.839","15.08","65.213","0.96","1.24","1.25","0.81",""
